Country_Code,Country_Name,HS_Code,Product_Description,Tariff_Rate,Base_Rate,Additional_Rate,Effective_Date,Expiration_Date,Notes
KR,대한민국,8501.31,"DC 모터, 출력 750W 이하",0.0,0.0,0.0,2025-04-09,2025-12-31,
KR,대한민국,8414.59,"팬, 블로워 등",0.0,0.0,0.0,2025-04-09,2025-12-31,
JP,일본,8501.31,"DC 모터, 출력 750W 이하",2.8,2.8,0.0,2025-04-09,2025-12-31,
JP,일본,8414.59,"팬, 블로워 등",2.3,2.3,0.0,2025-04-09,2025-12-31,
CN,중국,8414.59,"팬, 블로워 등",12.3,2.3,10.0,2025-02-04,2025-03-04,트럼프 행정부 관세 정책 반영 (기본 2.3% + 추가 10.0%)
CN,중국,8414.59,"팬, 블로워 등",22.3,2.3,20.0,2025-03-04,2025-04-02,트럼프 행정부 관세 정책 반영 (기본 2.3% + 추가 20.0%)
CN,중국,8414.59,"팬, 블로워 등",56.3,2.3,54.0,2025-04-02,2025-12-31,트럼프 행정부 관세 정책 반영 (기본 2.3% + 추가 54.0%)
CN,중국,8501.31,"DC 모터, 출력 750W 이하",12.5,2.5,10.0,2025-02-04,2025-03-04,트럼프 행정부 관세 정책 반영 (기본 2.5% + 추가 10.0%)
CN,중국,8501.31,"DC 모터, 출력 750W 이하",22.5,2.5,20.0,2025-03-04,2025-04-02,트럼프 행정부 관세 정책 반영 (기본 2.5% + 추가 20.0%)
CN,중국,8501.31,"DC 모터, 출력 750W 이하",56.5,2.5,54.0,2025-04-02,2025-12-31,트럼프 행정부 관세 정책 반영 (기본 2.5% + 추가 54.0%)
IN,인도,8501.31,"DC 모터, 출력 750W 이하",2.5,2.5,0.0,2025-04-09,2025-12-31,
IN,인도,8414.59,"팬, 블로워 등",2.3,2.3,0.0,2025-04-09,2025-12-31,
TH,태국,8501.31,"DC 모터, 출력 750W 이하",2.5,2.5,0.0,2025-04-09,2025-12-31,
TH,태국,8414.59,"팬, 블로워 등",2.3,2.3,0.0,2025-04-09,2025-12-31,
VN,베트남,8501.31,"DC 모터, 출력 750W 이하",2.5,2.5,0.0,2025-04-09,2025-12-31,
VN,베트남,8414.59,"팬, 블로워 등",2.3,2.3,0.0,2025-04-09,2025-12-31,
TW,대만,8501.31,"DC 모터, 출력 750W 이하",2.8,2.8,0.0,2025-04-09,2025-12-31,
TW,대만,8414.59,"팬, 블로워 등",2.3,2.3,0.0,2025-04-09,2025-12-31,
EU,유럽연합,8501.31,"DC 모터, 출력 750W 이하",0.0,0.0,0.0,2025-04-09,2025-12-31,
EU,유럽연합,8414.59,"팬, 블로워 등",0.0,0.0,0.0,2025-04-09,2025-12-31,
MX,멕시코,8501.31,"DC 모터, 출력 750W 이하",0.0,0.0,0.0,2025-04-09,2025-12-31,
MX,멕시코,8414.59,"팬, 블로워 등",0.0,0.0,0.0,2025-04-09,2025-12-31,
